x_val,y_added,y_removed,y_combined
0,220,168,388
rc == MYSQL_NO_DATA,140,138,278
"page_zip->data, page_zip_get_size(page_zip)",96,64,160
fixed == 1,104,51,155
"rec, rec_offs_data_size(offsets)",74,50,124
"rec - rec_offs_extra_size(offsets), rec_offs_extra_size(offsets)",60,40,100
1 == my_process_stmt_result(stmt),48,48,96
(u_int32_t)(bp - (u_int8_t *)logrec.data) == logrec.size,44,44,88
1 == my_process_result_set(result),44,44,88
"page, UNIV_PAGE_SIZE",42,28,70
"data, len",35,22,57
1 == mysql_affected_rows(mysql),27,27,54
"TABLE, FOLD",30,18,48
1==0,24,24,48
stmt != 0,22,18,40
info->stack != NULL,13,26,39
"table, fold",24,15,39
rc == 0,21,17,38
 0 == my_process_result_set(result),19,19,38
length1 == 5,18,18,36
rc == MYSQL_NEED_DATA,18,18,36
dst != NULL,17,18,35
"strcmp(szData, ""venu"") == 0",17,17,34
void,20,12,32
entry,20,12,32
"block, len",20,12,32
"src, size",16,14,30
loc == &dbenv->test_abort,14,14,28
map->bitmap,17,11,28
"buf, n",18,10,28
FALSE,27,1,28
param_count == 2,13,13,26
nData == 20,13,13,26
size > 0,14,12,26
nData == 10,13,13,26
"bpage, BUF_BUDDY_LOW << i",14,12,26
rc == 1,13,13,26
block->status & (BLOCK_READ | BLOCK_IN_USE),26,0,26
src != NULL,13,12,25
is_null[0],12,12,24
dbenv != NULL,12,12,24
2 == my_process_result_set(result),12,12,24
buflen >= sizeof(struct hostent_data),12,12,24
my_process_stmt_result(stmt) == 1,12,12,24
"strcmp(field->name, ""col1"") == 0",12,12,24
length[4] == 4,12,12,24
"strcmp(szData, ""monty"") == 0",12,12,24
block->hash_link,20,2,22
2 == my_process_stmt_result(stmt),11,11,22
"strcmp(s_data, buff) == 0",11,11,22
"block->frame, UNIV_PAGE_SIZE",16,5,21
r==0,11,10,21
DATA,13,8,21
"c_stream.next_in, c_stream.avail_in",12,8,20
"bpage, sizeof *bpage",12,8,20
"rec_get_start(insert_rec, offsets), rec_offs_size(offsets)",12,8,20
"rec_start, extra_size",12,8,20
"data, src - start",12,8,20
true,10,10,20
(int)tiny_data == my_process_result_set(result),10,10,20
length[6] == (ulong) len,9,9,18
length == 7,9,9,18
t_length == 1,9,9,18
l_length == 4,9,9,18
length[i] == bit,9,9,18
"F_ISSET(fhp, DB_FH_OPENED) && fhp->fd != -1",9,9,18
my_process_stmt_result(stmt) == 0,9,9,18
length1 == 4,9,9,18
!block->prev_used,16,2,18
affected_rows == exp_count,9,9,18
length[5] == 8,9,9,18
rc == 3,9,9,18
s_length == 2,9,9,18
ll_length == 8,9,9,18
pgset != NULL,9,9,18
field,10,6,16
mysql != 0,9,7,16
result==0,9,7,16
"strcmp(field->name, ""col3"") == 0",8,8,16
"strcmp(field->table, ""test_prep_update"") == 0",8,8,16
1,8,8,16
 dtuple_t* tuple,10,6,16
"1 == my_process_result_set(mysql,result)",8,8,16
"strcmp(field->table, ""test_prep_select"") == 0",8,8,16
sdbc->mylock.off == LOCK_INVALID,8,8,16
"strcmp(szData, ""mysql"") == 0",8,8,16
block->prev_changed && *block->prev_changed == block,16,0,16
"strncmp(c2, ""1"", 1) == 0 && l2 == 1",8,8,16
extra != NULL,6,9,15
al != NULL,6,9,15
ret == BUFFER_LEN,11,4,15
" row_get_rec_trx_id(rec, index, offsets)",7,8,15
5 == my_process_stmt_result(stmt),7,7,14
c1 == 2 && l2 == 4,7,7,14
block->hash_link->file == file,14,0,14
(size_t) buflen >= sizeof(*result),7,7,14
count == 2,7,7,14
"0, __FILE__, (ulint) __LINE__",9,5,14
fixed,9,5,14
"block->page.zip.data, zip_size",10,4,14
"buf, len",9,5,14
src == dst && srclen == dstlen,12,2,14
rc,7,6,13
ctxn == NULL,6,6,12
get_count == set_count,6,6,12
"1 == my_stmt_result(""SELECT * FROM test_bind_long"",50)",6,6,12
i_data == 3999,6,6,12
fixed == 0,8,4,12
!block->next_used,12,0,12
meta->dbmeta.encrypt_alg != 0,6,6,12
flags != DB_CURRENT,6,6,12
"((buf_block_t*) bpage)->frame, UNIV_PAGE_SIZE",8,4,12
(u_int32_t)(bp - (u_int8_t *)logrec.data) <= logrec.size,6,6,12
length[6] == len,6,6,12
0 == my_process_stmt_result(stmt),6,6,12
id == 10,6,6,12
ctp->ct_type == CT_CURSOR,6,6,12
length == 1,6,6,12
!block->requests,10,2,12
longlong_value == 35999,6,6,12
sdbp->s_refcnt != 0,6,6,12
block->status & BLOCK_IN_USE,12,0,12
TRUE,6,6,12
data[i] == round+i+1,6,6,12
hp->hash_page_dirty != 0,6,6,12
tiny_value == 200,6,6,12
vio->sd >= 0,6,5,11
map->bitmap && bitmap_bit < map->bitmap_size*8,7,4,11
to <= end,7,4,11
block->hash_link && block->hash_link->block == block,10,0,10
length[0] == 1,5,5,10
"prev_b, sizeof *prev_b",6,4,10
al->argv != NULL,4,6,10
"src, UNIV_PAGE_SIZE",6,4,10
DATA->NAME,6,4,10
"bpage->zip.data, page_zip_get_size(&bpage->zip)",6,4,10
"dst, size",6,4,10
"c_stream->next_in, c_stream->avail_in",6,4,10
"page_zip, sizeof *page_zip",6,4,10
"!memcmp(buffer, TEST_STRING, ret)",5,5,10
4 == my_process_stmt_result(stmt),5,5,10
"&block->page, sizeof block->page",6,4,10
"buf, BUF_BUDDY_LOW << i",6,4,10
pos < m_size,6,4,10
"stored - PAGE_ZIP_DIR_SLOT_SIZE, PAGE_ZIP_DIR_SLOT_SIZE",6,4,10
is_null[1],5,5,10
data.size == sizeof(u_int32_t),5,5,10
map2->bitmap,5,5,10
stmt == 0,5,5,10
"bpage, sizeof(buf_block_t)",6,4,10
map->bitmap && map2->bitmap && map->bitmap_size==map2->bitmap_size,6,4,10
"F_ISSET(dbp, DB_AM_CHKSUM)",5,5,10
ext_end - n_ext * BTR_EXTERN_FIELD_REF_SIZE,6,4,10
"externs - (PAGE_ZIP_DIR_SLOT_SIZE + DATA_TRX_ID_LEN + DATA_ROLL_PTR_LEN), PAGE_ZIP_DIR_SLOT_SIZE + DATA_TRX_ID_LEN + DATA_ROLL_PTR_LEN",6,4,10
"HASH_GET_NEXT(NAME, DATA)",6,4,10
(int)f_data == round+1+i,5,5,10
key.size == sizeof(db_pgno_t),5,5,10
(int)d_data == round+2+i,5,5,10
"strcmp(szData, ""MySQL"") == 0",5,5,10
"block[0], 3 * sizeof block[0]",6,4,10
length[2] == 4,5,5,10
"block[0], b - block[0]",6,4,10
"src_zip->data, page_zip_get_size(page_zip)",6,4,10
"col, dfield_get_type(&fields[i])",6,4,10
!error,7,3,10
"data, src - rec",6,4,10
"rec, size",6,4,10
"block[0], sizeof block[0]",6,4,10
gNdbMem_nAWEinfo < cNdbMem_nMaxAWEinfo,5,4,9
! ieee_buffer_emptyp (&info->vars),3,6,9
read_length > 0,6,3,9
block->hash_link->block == block,8,1,9
map->bitmap && bitmap_bit < map->n_bits,6,3,9
c,6,3,9
!result,5,4,9
tmpThread->hThread,5,4,9
sd != 0,4,4,8
cnt <= keycache->blocks_used,4,4,8
mysql_more_results(mysql_local) == 0,4,4,8
offset >= 0 && (unsigned) offset < array->n_extent,4,4,8
"strcmp(data, ""MySQL - Open Source"") == 0",4,4,8
"strcmp(c2, ""mysql"") == 0 && l2 == 5",4,4,8
!block->prev_changed,6,2,8
"strcmp(field->table, ""test_dateformat"") == 0",4,4,8
exp_count == mysql_stmt_affected_rows(stmt),4,4,8
map1->bitmap && map2->bitmap && map1->bitmap_size==map2->bitmap_size,5,3,8
"strcmp(t_data, ""120"") == 0",4,4,8
length == 19,4,4,8
id == 9876,4,4,8
block->hash_link->diskpos == filepos,8,0,8
"strcmp(data, ""my\'sql\'"") == 0",4,4,8
"strncmp(data, ""j"", 1) == 0 && length == 10",4,4,8
vio->ssl_!=0,4,4,8
"strcmp(d_data, ""58.89"") == 0",4,4,8
"strncmp(data, ""abcd"", 4) == 0 && length == 10",4,4,8
nData == my_process_result_set(result),4,4,8
"strncmp(buffer, ""Database"", 8) == 0",4,4,8
mysql_affected_rows(mysql) == NUM_ROWS,4,4,8
"strcmp(dt, ""2010-07-10 00:00:00"") == 0",4,4,8
"strcmp(field->table, table) == 0",4,4,8
"strncmp(buffer, ""Popula"", 6) == 0",4,4,8
"strcmp(ts_6, ""1999-12-29 00:00:00"") == 0",4,4,8
udouble_val == ulonglong2double(uint64_val),4,4,8
data.size == sizeof(VRFY_CHILDINFO),4,4,8
db_cipher->adj_size(pg_off) == 0,4,4,8
"strncmp(c2, ""mysq"", 4) == 0 && l2 == 5",4,4,8
lp->lsn.file == nlsn.file,4,4,8
"strcmp(c2, ""venu"") == 0 && l2 == 4",4,4,8
map->bitmap && bitmap_bit < map->bitmap_size,4,4,8
db != NULL,4,4,8
"strcmp(field->name, ""YEAR"") == 0",4,4,8
"strcmp(data, str_data) == 0",4,4,8
"log_compare (&rp->lsn, &lp->lsn) == 0",4,4,8
al->argv[i] != NULL,3,5,8
fnp->id == DB_LOGFILEID_INVALID,4,4,8
db_cipher != NULL,4,4,8
"strcmp(name, ""mysql"") == 0",4,4,8
"!F_ISSET(dbp, DB_AM_SECONDARY)",4,4,8
"strcmp(date, ""2002-01-02"") == 0",4,4,8
(int)f_data == rc,4,4,8
"strcmp(name, ""updated"") == 0",4,4,8
"strlen(canonical_buff) == out_length && strncmp(out_buff, canonical_buff, out_length) == 0",4,4,8
pip->pi_refcount == 0,4,4,8
"strcmp(data, ""'"") == 0",4,4,8
 dfield_t* field,5,3,8
"strcmp(field->db, db) == 0",4,4,8
txn != NULL,4,4,8
"strncmp(c2, ""venu"", 4) == 0 && l2 == 4",4,4,8
"strcmp(var, ""max_error_count"") == 0",4,4,8
!block->next_changed,6,2,8
"strcmp(field->name, ""col2"") == 0",4,4,8
r != 0,4,4,8
"strcmp(field->org_name, org_name) == 0",4,4,8
"strcmp(time, ""12:49:00"") == 0",4,4,8
lp->b_off == 0,4,4,8
cnt <= my_blocks_used,4,4,8
"strcmp(ts, ""2002-01-02 17:46:59"") == 0",4,4,8
count == 0,4,4,8
"strncmp(bData, ""mysql"", 5) == 0",4,4,8
"strcmp(field->org_table, org_table) == 0",4,4,8
ptr->ssl_context_ != 0,4,4,8
(int)d_data == rc,4,4,8
"strcmp(buffer, ""Open-Source"") == 0",4,4,8
3 == my_process_stmt_result(stmt),4,4,8
!lp->db_log_inmemory,4,4,8
"strcmp(field->name, name) == 0",4,4,8
"hcp->indx == 0 && F_ISSET(hcp, H_DELETED)",4,4,8
cnt <= _my_blocks_used,4,4,8
length[6] == 8,4,4,8
ptr != 0,4,4,8
keycache->can_be_used,8,0,8
mysql_next_result(mysql_local) == -1,4,4,8
"0 == my_process_result_set(mysql,result)",4,4,8
"strcmp(field->def, def) == 0",4,4,8
"strncmp(data, ""fg"", 2) == 0 && length == 10",4,4,8
length[5] == 4,4,4,8
m_status == DA_OK || m_status == DA_EOF,4,3,7
fixed == TRUE,7,0,7
len <= sizeof(epbuf),4,3,7
argv0 != NULL,3,4,7
al->argv[al->argc] != NULL,3,4,7
nope,7,0,7
index < m_size,7,0,7
name != NULL,4,3,7
" dict_field_get_col(dict_index_get_nth_field( index, i)), dfield_get_type(field)",5,2,7
mutex,4,3,7
getopt.id == -1,6,0,6
c1 == 1 && l1 == 4,3,3,6
(volatile int)activeReferences >= 0,2,4,6
LF_ISSET(DB_CREATE),3,3,6
c1 == 2 && l1 == 4,3,3,6
nData == 1000 || nData == 88 || nData == 389789,3,3,6
"strcmp(data, ""5.61"") == 0",3,3,6
d_length == 10,3,3,6
length[3] == 1,3,3,6
id == 1,3,3,6
is_null == 1,3,3,6
current_statement!=0,2,4,6
row[i] == 0,3,3,6
year == 2010,3,3,6
TYPE(h) == P_INVALID,3,3,6
b_data == 54,3,3,6
pos_in_file == info->end_of_file,4,2,6
t_length == 8,3,3,6
buffer[1] == 'X',3,3,6
long_value == -127,3,3,6
cp->csp - cp->sp == ncp->csp - ncp->sp,3,3,6
!block->hash_link,4,2,6
info->type_stack != NULL && info->type_stack->type.classdef != NULL,2,4,6
type->u.kclass->id > info->base_id,2,4,6
length[7] == 8,3,3,6
ts4_length == 0,3,3,6
"strcmp(row[i], ""22"") == 0",3,3,6
buffer[0] == 'M',3,3,6
size < MYSQL_NO_BIT_FOUND,3,3,6
f_data == 2,3,3,6
ptrace_regs!=0,2,4,6
size() == rhs.size(),3,3,6
length[0] == 3,3,3,6
bLength == 5,3,3,6
szLength == 4,3,3,6
param->buffer_length != 0,4,2,6
10 == mysql_num_fields(result),3,3,6
s_data == 2999,3,3,6
info->indent == 0,2,4,6
double_data == o_double_data,3,3,6
info->stack->next != NULL,2,4,6
ctp->ct_type == CT_ENV,3,3,6
nData == (int)my_process_stmt_result(stmt),3,3,6
HA_ERR_FIRST + array_elements(handler_error_messages) == HA_ERR_LAST + 1,4,2,6
(ctp)->ct_type & (type),3,3,6
field->length == length,3,3,6
long_value == -5999,3,3,6
!STD_LOCKING(dbc) || cp->lock_mode != DB_LOCK_NG,3,3,6
 i == total_stmts,3,3,6
length[2] == 2,3,3,6
param_count == exp_count,3,3,6
row[17] != 0,3,3,6
data.size = sizeof(int),3,3,6
!(block->status & BLOCK_CHANGED),6,0,6
tm[i].year == 0 || tm[i].year == year+count,3,3,6
data[i] == rc+i,3,3,6
tiny_data == o_tiny_data,3,3,6
isBlob(),2,4,6
length == MYSQL_NULL_DATA,3,3,6
Count >= left_length,4,2,6
rc == (int)nData,3,3,6
flags == 0,3,3,6
real_data == o_real_data,3,3,6
0 == mysql_more_results(mysql),3,3,6
length[i] == 4,3,3,6
tm[i].second_part == 0 || tm[i].second_part == second_part+count,3,3,6
(head)->tqh_first == (elm),3,3,6
param_count == 0,3,3,6
