x_val,y_added,y_removed,y_combined
!AtEnd(),27,18,45
"statement, regex",6,4,10
"::std::tr1::tuple_size< tn ::testing::internal::Function<F>::ArgumentTuple>::value == 7, this_method_does_not_take_7_arguments",3,2,5
"::std::tr1::tuple_size< tn ::testing::internal::Function<F>::ArgumentTuple>::value == 9, this_method_does_not_take_9_arguments",3,2,5
" kTIsOther || kUIsOther || (internal::LosslessArithmeticConvertible<RawT, RawU>::value), conversion_of_arithmetic_types_must_be_lossless",3,2,5
"::testing::internal::CmpHelperGE, val1, val2",3,2,5
" internal::is_reference<T>::value || !internal::is_reference<U>::value, cannot_convert_non_referentce_arg_to_reference",3,2,5
"tuple_size<MatcherTuple>::value == tuple_size<ValueTuple>::value, matcher_and_value_have_different_numbers_of_fields",3,2,5
"::testing::internal::CmpHelperGT, val1, val2",3,2,5
"::std::tr1::tuple_size< tn ::testing::internal::Function<F>::ArgumentTuple>::value == 1, this_method_does_not_take_1_argument",3,2,5
"::std::tr1::tuple_size< tn ::testing::internal::Function<F>::ArgumentTuple>::value == 10, this_method_does_not_take_10_arguments",3,2,5
"::testing::internal::CmpHelperFloatingPointEQ<double>, expected, actual",3,2,5
"(internal::ImplicitlyConvertible<T, U>::value), T_must_be_implicitly_convertible_to_U",3,2,5
"::testing::internal::CmpHelperSTRCASENE, s1, s2",3,2,5
" internal::is_reference<Result>::value, use_Return_instead_of_ReturnRefOfCopy_to_return_a_value",3,2,5
cond,3,2,5
"::testing::internal::CmpHelperSTRNE, s1, s2",3,2,5
"internal::is_pointer<Result>::value, ReturnNull_can_be_used_to_return_a_pointer_only",3,2,5
"::std::tr1::tuple_size< tn ::testing::internal::Function<F>::ArgumentTuple>::value == 6, this_method_does_not_take_6_arguments",3,2,5
"statement, ::testing::internal::ExitedUnsuccessfully, regex",3,2,5
"internal::is_reference<Result>::value, use_Return_instead_of_ReturnRef_to_return_a_value",3,2,5
"::testing::internal:: EqHelper<GTEST_IS_NULL_LITERAL_(expected)>::Compare, expected, actual",3,2,5
"::std::tr1::tuple_size< tn ::testing::internal::Function<F>::ArgumentTuple>::value == 3, this_method_does_not_take_3_arguments",3,2,5
"::testing::internal::DoubleNearPredFormat, val1, val2, abs_error",3,2,5
"::testing::internal::CmpHelperFloatingPointEQ<float>, expected, actual",3,2,5
"::testing::internal::CmpHelperLE, val1, val2",3,2,5
" !internal::is_reference<Result>::value, use_ReturnRef_instead_of_Return_to_return_a_reference",3,2,5
"::std::tr1::tuple_size< tn ::testing::internal::Function<F>::ArgumentTuple>::value == 0, this_method_does_not_take_0_arguments",3,2,5
"::testing::internal::CmpHelperSTRCASEEQ, expected, actual",3,2,5
"::testing::internal::CmpHelperLT, val1, val2",3,2,5
"::testing::internal::CmpHelperSTREQ, expected, actual",3,2,5
"::testing::internal::IsHRESULTFailure, (expr)",3,2,5
"!internal::is_reference<Result>::value, Result_cannot_be_a_reference_type",3,2,5
"::testing::internal::IsHRESULTSuccess, (expr)",3,2,5
"::testing::internal::CmpHelperNE, val1, val2",3,2,5
"::std::tr1::tuple_size< tn ::testing::internal::Function<F>::ArgumentTuple>::value == 8, this_method_does_not_take_8_arguments",3,2,5
"::std::tr1::tuple_size< tn ::testing::internal::Function<F>::ArgumentTuple>::value == 2, this_method_does_not_take_2_arguments",3,2,5
"::std::tr1::tuple_size< tn ::testing::internal::Function<F>::ArgumentTuple>::value == 5, this_method_does_not_take_5_arguments",3,2,5
"::std::tr1::tuple_size< tn ::testing::internal::Function<F>::ArgumentTuple>::value == 4, this_method_does_not_take_4_arguments",3,2,5
"internal::is_reference<argk_type>::value, SetArgReferee_must_be_used_with_a_reference_argument",3,2,5
&ptr != this,3,2,5
